# t ax ay az mx my mz
0.204000 -71.040001 14.081008 14.081008 -56.959999 17.386536 -1.020000
0.206000 -70.559998 13.981068 13.981068 -56.440002 17.521486 -1.030000
0.208000 -70.080002 13.876158 13.876158 -55.919998 17.655443 -1.040000
0.210000 -69.600006 13.766319 13.766319 -55.400002 17.788393 -1.050000
0.212000 -69.119995 13.651589 13.651589 -54.880005 17.920332 -1.060000
0.214000 -68.639999 13.532010 13.532010 -54.360001 18.051252 -1.070000
0.216000 -68.160004 13.407621 13.407621 -53.840000 18.181149 -1.080000
0.218000 -67.680000 13.278471 13.278471 -53.320000 18.310007 -1.090000
0.220000 -67.199997 13.144601 13.144601 -52.799999 18.437828 -1.100000
0.222000 -66.720001 13.006061 13.006061 -52.279999 18.564602 -1.110000
0.224000 -66.239998 12.862900 12.862900 -51.759998 18.690317 -1.120000
0.226000 -65.760002 12.715168 12.715168 -51.240002 18.814970 -1.130000
0.228000 -65.279999 12.562920 12.562920 -50.720001 18.938557 -1.140000
0.230000 -64.800003 12.406209 12.406209 -50.200001 19.061064 -1.150000
0.232000 -64.320000 12.245089 12.245089 -49.680000 19.182487 -1.160000
0.234000 -63.840000 12.079618 12.079618 -49.160000 19.302822 -1.170000
0.236000 -63.360001 11.909855 11.909855 -48.639999 19.422058 -1.180000
0.238000 -62.879997 11.735861 11.735861 -48.119999 19.540192 -1.190000
0.240000 -62.400002 11.557698 11.557698 -47.600002 19.657211 -1.200000
0.242000 -61.920002 11.375428 11.375428 -47.080002 19.773115 -1.210000
0.244000 -61.439999 11.189116 11.189116 -46.559998 19.887896 -1.220000
0.246000 -60.959999 10.998829 10.998829 -46.039997 20.001545 -1.230000
0.248000 -60.480000 10.804636 10.804636 -45.520004 20.114058 -1.240000
0.250000 -60.000000 10.606602 10.606602 -45.000000 20.225426 -1.250000
0.252000 -59.520000 10.404799 10.404799 -44.479996 20.335644 -1.260000
0.254000 -59.039997 10.199299 10.199299 -43.959999 20.444708 -1.270000
0.256000 -58.559998 9.990176 9.990176 -43.439995 20.552608 -1.280000
0.258000 -58.080002 9.777506 9.777506 -42.920006 20.659340 -1.290000
0.260000 -57.600002 9.561361 9.561361 -42.400002 20.764898 -1.300000
0.262000 -57.120003 9.341819 9.341819 -41.880005 20.869274 -1.310000
0.264000 -56.639999 9.118956 9.118956 -41.360001 20.972466 -1.320000
0.266000 -56.160000 8.892853 8.892853 -40.839996 21.074465 -1.330000
0.268000 -55.680000 8.663590 8.663590 -40.320000 21.175266 -1.340000
0.270000 -55.199997 8.431250 8.431250 -39.799995 21.274862 -1.350000
0.272000 -54.719994 8.195913 8.195913 -39.279999 21.373249 -1.360000
0.274000 -54.240005 7.957668 7.957668 -38.760002 21.470421 -1.370000
0.276000 -53.760002 7.716593 7.716593 -38.240005 21.566374 -1.380000
0.278000 -53.279999 7.472775 7.472775 -37.720001 21.661100 -1.390000
0.280000 -52.800003 7.226304 7.226304 -37.199997 21.754595 -1.400000
0.282000 -52.320000 6.977267 6.977267 -36.680000 21.846851 -1.410000
0.284000 -51.839996 6.725748 6.725748 -36.159996 21.937868 -1.420000
0.286000 -51.360001 6.471840 6.471840 -35.639999 22.027637 -1.430000
0.288000 -50.880005 6.215635 6.215635 -35.120003 22.116152 -1.440000
0.290000 -50.400002 5.957219 5.957219 -34.599998 22.203411 -1.450000
0.292000 -49.919998 5.696687 5.696687 -34.080002 22.289410 -1.460000
0.294000 -49.440002 5.434130 5.434130 -33.559998 22.374138 -1.470000
0.296000 -48.959999 5.169643 5.169643 -33.040001 22.457596 -1.480000
0.298000 -48.479996 4.903318 4.903318 -32.519997 22.539776 -1.490000
0.300000 -48.000000 4.635252 4.635252 -32.000000 22.620678 -1.500000
0.302000 -47.520004 4.365545 4.365545 -31.480003 22.700291 -1.510000
0.304000 -47.040001 4.094282 4.094282 -30.959999 22.778612 -1.520000
0.306000 -46.559998 3.821563 3.821563 -30.440002 22.855642 -1.530000
0.308000 -46.080002 3.547486 3.547486 -29.919998 22.931372 -1.540000
0.310000 -45.599998 3.272149 3.272149 -29.400002 23.005796 -1.550000
0.312000 -45.119995 2.995649 2.995649 -28.879997 23.078915 -1.560000
0.314000 -44.639999 2.718085 2.718085 -28.360001 23.150721 -1.570000
0.316000 -44.159996 2.439555 2.439555 -27.839996 23.221210 -1.580000
0.318000 -43.680000 2.160162 2.160162 -27.320000 23.290379 -1.590000
0.320000 -43.200005 1.879998 1.879998 -26.800003 23.358223 -1.600000
0.322000 -42.720001 1.599170 1.599170 -26.279999 23.424742 -1.610000
0.324000 -42.239998 1.317769 1.317769 -25.760002 23.489927 -1.620000
0.326000 -41.760002 1.035901 1.035901 -25.239998 23.553778 -1.630000
0.328000 -41.279999 0.753664 0.753664 -24.720001 23.616289 -1.640000
0.330000 -40.799995 0.471160 0.471160 -24.199997 23.677458 -1.650000
0.332000 -40.320000 0.188492 0.188492 -23.680000 23.737280 -1.660000
0.334000 -39.840004 -0.094246 -0.094246 -23.160004 23.795753 -1.670000
0.336000 -39.360001 -0.376951 -0.376951 -22.639999 23.852875 -1.680000
0.338000 -38.879997 -0.659523 -0.659523 -22.120003 23.908638 -1.690000
0.340000 -38.400002 -0.941859 -0.941859 -21.599998 23.963045 -1.700000
0.342000 -37.919998 -1.223862 -1.223862 -21.080002 24.016088 -1.710000
0.344000 -37.439995 -1.505429 -1.505429 -20.559998 24.067766 -1.720000
0.346000 -36.960007 -1.786454 -1.786454 -20.040001 24.118074 -1.730000
0.348000 -36.480003 -2.066852 -2.066852 -19.520004 24.167015 -1.740000
0.350000 -36.000000 -2.346516 -2.346516 -19.000000 24.214579 -1.750000
0.352000 -35.520004 -2.625345 -2.625345 -18.480003 24.260767 -1.760000
0.354000 -35.040001 -2.903243 -2.903243 -17.959999 24.305576 -1.770000
0.356000 -34.559998 -3.180108 -3.180108 -17.439995 24.349005 -1.780000
0.358000 -34.079994 -3.455843 -3.455843 -16.919998 24.391048 -1.790000
0.360000 -33.599998 -3.730351 -3.730351 -16.399994 24.431704 -1.800000
0.362000 -33.120003 -4.003530 -4.003530 -15.880005 24.470970 -1.810000
0.364000 -32.639999 -4.275287 -4.275287 -15.360001 24.508848 -1.820000
0.366000 -32.160004 -4.545527 -4.545527 -14.840004 24.545330 -1.830000
0.368000 -31.680000 -4.814153 -4.814153 -14.320000 24.580420 -1.840000
0.370000 -31.199997 -5.081069 -5.081069 -13.799995 24.614109 -1.850000
0.372000 -30.720001 -5.346179 -5.346179 -13.279999 24.646400 -1.860000
0.374000 -30.239998 -5.609389 -5.609389 -12.759995 24.677290 -1.870000
0.376000 -29.760002 -5.870604 -5.870604 -12.240005 24.706776 -1.880000
0.378000 -29.279999 -6.129736 -6.129736 -11.720001 24.734859 -1.890000
0.380000 -28.800003 -6.386690 -6.386690 -11.200005 24.761536 -1.900000
0.382000 -28.320000 -6.641375 -6.641375 -10.680000 24.786804 -1.910000
0.384000 -27.839996 -6.893700 -6.893700 -10.159996 24.810665 -1.920000
0.386000 -27.360001 -7.143572 -7.143572 -9.639999 24.833113 -1.930000
0.388000 -26.879997 -7.390910 -7.390910 -9.119995 24.854151 -1.940000
0.390000 -26.400002 -7.635619 -7.635619 -8.600006 24.873775 -1.950000
0.392000 -25.920006 -7.877618 -7.877618 -8.080002 24.891987 -1.960000
0.394000 -25.440002 -8.116817 -8.116817 -7.560005 24.908781 -1.970000
0.396000 -24.959999 -8.353134 -8.353134 -7.040001 24.924160 -1.980000
0.398000 -24.479996 -8.586482 -8.586482 -6.519997 24.938124 -1.990000
0.400000 -24.000000 -8.816780 -8.816780 -6.000000 24.950668 -2.000000
0.402000 -23.519997 -9.043944 -9.043944 -5.479996 24.961796 -2.010000
0.404000 -23.039993 -9.267897 -9.267897 -4.959999 24.971502 -2.020000
0.406000 -22.560005 -9.488550 -9.488550 -4.440002 24.979790 -2.030000
0.408000 -22.080002 -9.705838 -9.705838 -3.919998 24.986658 -2.040000
0.410000 -21.599998 -9.919677 -9.919677 -3.400002 24.992105 -2.050000
0.412000 -21.120003 -10.129992 -10.129992 -2.879997 24.996132 -2.060000
0.414000 -20.639999 -10.336707 -10.336707 -2.360001 24.998737 -2.070000
0.416000 -20.159996 -10.539750 -10.539750 -1.839996 24.999922 -2.080000
0.418000 -19.680000 -10.739048 -10.739048 -1.320000 24.999683 -2.090000
0.420000 -19.200005 -10.934528 -10.934528 -0.800003 24.998026 -2.100000
0.422000 -18.720001 -11.126126 -11.126126 -0.279999 24.994947 -2.110000
0.424000 -18.239998 -11.313771 -11.313771 0.239998 24.990446 -2.120000
0.426000 -17.760002 -11.497396 -11.497396 0.760002 24.984528 -2.130000
0.428000 -17.279999 -11.676933 -11.676933 1.279999 24.977184 -2.140000
0.430000 -16.799995 -11.852327 -11.852327 1.800003 24.968424 -2.150000
0.432000 -16.320000 -12.023505 -12.023505 2.320000 24.958244 -2.160000
0.434000 -15.840004 -12.190411 -12.190411 2.839996 24.946646 -2.170000
0.436000 -15.360001 -12.352986 -12.352986 3.360001 24.933628 -2.180000
0.438000 -14.880005 -12.511176 -12.511176 3.879997 24.919191 -2.190000
0.440000 -14.400002 -12.664917 -12.664917 4.400002 24.903341 -2.200000
0.442000 -13.919998 -12.814162 -12.814162 4.919998 24.886074 -2.210000
0.444000 -13.440002 -12.958851 -12.958851 5.440002 24.867390 -2.220000
0.446000 -12.959999 -13.098938 -13.098938 5.959999 24.847294 -2.230000
0.448000 -12.479996 -13.234369 -13.234369 6.480003 24.825787 -2.240000
0.450000 -12.000000 -13.365097 -13.365097 7.000000 24.802868 -2.250000
0.452000 -11.520004 -13.491079 -13.491079 7.519997 24.778538 -2.260000
0.454000 -11.040001 -13.612267 -13.612267 8.040001 24.752800 -2.270000
0.456000 -10.559998 -13.728619 -13.728619 8.559998 24.725655 -2.280000
0.458000 -10.080002 -13.840092 -13.840092 9.080002 24.697104 -2.290000
0.460000 -9.599998 -13.946647 -13.946647 9.599998 24.667149 -2.300000
0.462000 -9.119995 -14.048249 -14.048249 10.120003 24.635790 -2.310000
0.464000 -8.639999 -14.144858 -14.144858 10.639999 24.603033 -2.320000
0.466000 -8.160004 -14.236442 -14.236442 11.159996 24.568876 -2.330000
0.468000 -7.680000 -14.322968 -14.322968 11.680000 24.533323 -2.340000
0.470000 -7.199997 -14.404405 -14.404405 12.199997 24.496376 -2.350000
0.472000 -6.720001 -14.480725 -14.480725 12.720001 24.458036 -2.360000
0.474000 -6.239998 -14.551899 -14.551899 13.240005 24.418304 -2.370000
0.476000 -5.759995 -14.617904 -14.617904 13.760002 24.377186 -2.380000
0.478000 -5.280006 -14.678713 -14.678713 14.279999 24.334681 -2.390000
0.480000 -4.800003 -14.734308 -14.734308 14.799995 24.290792 -2.400000
0.482000 -4.320000 -14.784669 -14.784669 15.320000 24.245525 -2.410000
0.484000 -3.840004 -14.829777 -14.829777 15.839996 24.198875 -2.420000
0.486000 -3.360001 -14.869615 -14.869615 16.360001 24.150852 -2.430000
0.488000 -2.879997 -14.904170 -14.904170 16.880005 24.101458 -2.440000
0.490000 -2.399994 -14.933430 -14.933430 17.400002 24.050692 -2.450000
0.492000 -1.919998 -14.957384 -14.957384 17.920006 23.998556 -2.460000
0.494000 -1.440002 -14.976024 -14.976024 18.440002 23.945061 -2.470000
0.496000 -0.959999 -14.989342 -14.989342 18.959991 23.890202 -2.480000
0.498000 -0.480003 -14.997335 -14.997335 19.479996 23.833984 -2.490000
0.500000 0.000000 -15.000000 -15.000000 20.000000 23.776413 -2.500000
0.502000 0.479996 -14.997335 -14.997335 20.519989 23.717489 -2.510000
0.504000 0.959999 -14.989342 -14.989342 21.040009 23.657217 -2.520000
0.506000 1.439995 -14.976024 -14.976024 21.559998 23.595602 -2.530000
0.508000 1.920006 -14.957383 -14.957383 22.080002 23.532640 -2.540000
0.510000 2.399994 -14.933430 -14.933430 22.599991 23.468346 -2.550000
0.512000 2.880005 -14.904169 -14.904169 23.120010 23.402714 -2.560000
0.514000 3.360001 -14.869615 -14.869615 23.639999 23.335756 -2.570000
0.516000 3.839996 -14.829777 -14.829777 24.159988 23.267469 -2.580000
0.518000 4.320000 -14.784669 -14.784669 24.680008 23.197859 -2.590000
0.520000 4.799995 -14.734310 -14.734310 25.199997 23.126930 -2.600000
0.522000 5.280006 -14.678715 -14.678715 25.720001 23.054686 -2.610000
0.524000 5.759995 -14.617904 -14.617904 26.239990 22.981133 -2.620000
0.526000 6.240005 -14.551899 -14.551899 26.760010 22.906271 -2.630000
0.528000 6.720001 -14.480725 -14.480725 27.279999 22.830109 -2.640000
0.530000 7.199997 -14.404407 -14.404407 27.799988 22.752649 -2.650000
0.532000 7.680000 -14.322968 -14.322968 28.320007 22.673895 -2.660000
0.534000 8.159988 -14.236443 -14.236443 28.839996 22.593853 -2.670000
0.536000 8.639999 -14.144858 -14.144858 29.360001 22.512524 -2.680000
0.538000 9.119995 -14.048248 -14.048248 29.879990 22.429916 -2.690000
0.540000 9.600006 -13.946647 -13.946647 30.400009 22.346033 -2.700000
0.542000 10.080002 -13.840092 -13.840092 30.919998 22.260880 -2.710000
0.544000 10.560013 -13.728616 -13.728616 31.440002 22.174463 -2.720000
0.546000 11.040009 -13.612267 -13.612267 31.960007 22.086786 -2.730000
0.548000 11.519989 -13.491079 -13.491079 32.479996 21.997852 -2.740000
0.550000 12.000000 -13.365096 -13.365096 33.000000 21.907665 -2.750000
0.552000 12.479996 -13.234368 -13.234368 33.519989 21.816236 -2.760000
0.554000 12.960007 -13.098934 -13.098934 34.040009 21.723564 -2.770000
0.556000 13.440002 -12.958851 -12.958851 34.559998 21.629658 -2.780000
0.558000 13.920013 -12.814157 -12.814157 35.080002 21.534525 -2.790000
0.560000 14.399994 -12.664917 -12.664917 35.600006 21.438166 -2.800000
0.562000 14.879990 -12.511180 -12.511180 36.119995 21.340590 -2.810000
0.564000 15.360001 -12.352989 -12.352989 36.639999 21.241796 -2.820000
0.566000 15.839996 -12.190415 -12.190415 37.160004 21.141798 -2.830000
